collected_at,handle,display_name,ticker,company,post_created_at,post_text,source_url,topic,stance,summary
2026-09-25 12:05:00 JST,yuutaihiroto,桐谷広人・桐谷さん【公式】,2702,日本マクドナルドホールディングス,2026-09-25 08:09:37 JST,"昨日も沢山優待関係の郵便物が届きました。
1枚目はマクドナルドの優待券。私は300株所有で、3枚綴りの優待券が18セット😀
2枚目はジョイフル本田。カタログから好きなものが選べます。
3枚目はイズミ。QUOカード希望の人だけ葉書を返送します。放っておくと1000円ごと100円引きの券。先日休館日で入れなかった泉美術館の入場券もあります。
4枚目はGMOインターネットの優待。
同志社株式の買付代金× 0.03%のビットコインが優待ですが、手数料がオール0円になったので、優待もなくなったのでは？",https://x.com/yuutaihiroto/status/2103260597051936840,優待,中立,マクドナルドの株主優待券が届いたことを報告し、300株保有で18セット受領したと述べている。
2026-09-25 12:05:00 JST,yuutaihiroto,桐谷広人・桐谷さん【公式】,3191,ジョイフル本田,2026-09-25 08:09:37 JST,"昨日も沢山優待関係の郵便物が届きました。
1枚目はマクドナルドの優待券。私は300株所有で、3枚綴りの優待券が18セット😀
2枚目はジョイフル本田。カタログから好きなものが選べます。
3枚目はイズミ。QUOカード希望の人だけ葉書を返送します。放っておくと1000円ごと100円引きの券。先日休館日で入れなかった泉美術館の入場券もあります。
4枚目はGMOインターネットの優待。
同志社株式の買付代金× 0.03%のビットコインが優待ですが、手数料がオール0円になったので、優待もなくなったのでは？",https://x.com/yuutaihiroto/status/2103260597051936840,優待,中立,ジョイフル本田のカタログ優待が届いたことを報告している。
2026-09-25 12:05:00 JST,yuutaihiroto,桐谷広人・桐谷さん【公式】,8273,イズミ,2026-09-25 08:09:37 JST,"昨日も沢山優待関係の郵便物が届きました。
1枚目はマクドナルドの優待券。私は300株所有で、3枚綴りの優待券が18セット😀
2枚目はジョイフル本田。カタログから好きなものが選べます。
3枚目はイズミ。QUOカード希望の人だけ葉書を返送します。放っておくと1000円ごと100円引きの券。先日休館日で入れなかった泉美術館の入場券もあります。
4枚目はGMOインターネットの優待。
同志社株式の買付代金× 0.03%のビットコインが優待ですが、手数料がオール0円になったので、優待もなくなったのでは？",https://x.com/yuutaihiroto/status/2103260597051936840,優待,中立,イズミの優待案内が届き、QUOカード選択や泉美術館入場券について述べている。
2026-09-25 12:05:00 JST,yuutaihiroto,桐谷広人・桐谷さん【公式】,9449,GMOインターネットグループ,2026-09-25 08:09:37 JST,"昨日も沢山優待関係の郵便物が届きました。
1枚目はマクドナルドの優待券。私は300株所有で、3枚綴りの優待券が18セット😀
2枚目はジョイフル本田。カタログから好きなものが選べます。
3枚目はイズミ。QUOカード希望の人だけ葉書を返送します。放っておくと1000円ごと100円引きの券。先日休館日で入れなかった泉美術館の入場券もあります。
4枚目はGMOインターネットの優待。
同志社株式の買付代金× 0.03%のビットコインが優待ですが、手数料がオール0円になったので、優待もなくなったのでは？",https://x.com/yuutaihiroto/status/2103260597051936840,優待,中立,GMOインターネットの優待が届いたとし、手数料無料化により優待がなくなった可能性を疑問視している。
2026-09-25 12:05:00 JST,noatake1127,たけぞう,4967,小林製薬,2026-09-25 09:14:40 JST,小林製薬はTOBの確率は高いと思ってた会社だけど、持ちつづけらなかった,https://x.com/noatake1127/status/2103276967282008388,材料,判定不能,小林製薬についてTOB確率が高いと考えていたが保有を続けられなかったと述べている。今後の見通しは明示されていない。
2026-09-25 12:05:00 JST,noatake1127,たけぞう,4062,イビデン,2026-09-25 11:08:35 JST,"https://kabu.bridge-salon.jp/takezo/

9月25日(金)☆昨日は日経平均495円高でTOPIX 15P安、イビデンが大幅高でエヌビディア・Huang CEO「君たちに頼るしかない」、住友電工も上昇でPetal協業",https://x.com/noatake1127/status/2103305636465483790,材料,中立,昨日の市況要約としてイビデンの大幅高を举げ、NVIDIAのHuang CEO発言を材料として共有している。
2026-09-25 12:05:00 JST,noatake1127,たけぞう,5802,住友電気工業,2026-09-25 11:08:35 JST,"https://kabu.bridge-salon.jp/takezo/

9月25日(金)☆昨日は日経平均495円高でTOPIX 15P安、イビデンが大幅高でエヌビディア・Huang CEO「君たちに頼るしかない」、住友電工も上昇でPetal協業",https://x.com/noatake1127/status/2103305636465483790,材料,中立,住友電工がPetal協業を背景に上昇したと市況要約で報告している。
2026-09-25 12:05:00 JST,ABC87791035,ABCトレーダー,6904,原田工業,2026-09-25 11:41:55 JST,原田工業すごい

少しだけ保有、自動運転バリュー,https://x.com/ABC87791035/status/2103314025086083349,バリュエーション,中立,原田工業を評価し、少し保有していることと自動運転バリューという着眼を述べている。
2026-09-25 12:05:00 JST,Nagoya_Tyouki,名古屋の長期投資家（なごちょう）,8306,三菱UFJフィナンシャル・グループ,2026-09-25 11:05:46 JST,三菱ＵＦＪの店頭で金融商品を勧誘された時に、「三菱ＵＦＪの株を買った方が良い」と言っていた事を思い出します。,https://x.com/Nagoya_Tyouki/status/2103304927925985505,その他,中立,三菱UFJの店頭勧誘時に同社株を買った方が良いと言っていた回想を述べている。
